sensor,time,t,ax,ay,az,wx,wy,wz,lat,lon,alt,v_kmh,satellites,x,y
acc,1778674613.0,412.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,0.039062,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,0.0,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.875,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.355469,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.355469,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.28125,-9.839844,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.074219,0.355469,-9.839844,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.835938,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
acc,1778674613.0,412.0,-0.035156,0.320312,-9.800781,,,,,,,,,,
